seed,severity,modality,regime,estimator,threshold,abstention_rate,coverage_defect,coverage_ok,roc_auc,pr_auc,brier,recall,precision,f1,escape_rate,overkill_rate,true_negative,false_positive,false_negative,true_positive
99,2.0,vision,inline,xgboost,0.034999999999999996,0.03776223776223776,0.9050772626931567,0.8664122137404581,0.9705651888175522,0.9820640460910515,0.06209383082023263,0.9955849889624724,0.7381342062193126,0.8477443609022557,0.004415011037527594,0.6106870229007634,102,160,2,451
99,2.0,process,inline,xgboost,0.030000000000000002,0.11748251748251748,0.4988962472406181,0.9541984732824428,0.798118564952901,0.8705204628501206,0.2400818177930684,0.9911699779249448,0.6632200886262924,0.7946902654867256,0.008830022075055188,0.8702290076335878,34,228,4,449
99,2.0,fusion,inline,xgboost,0.01,0.13846153846153847,0.6467991169977925,0.9541984732824428,0.9698110981918676,0.9825308951436859,0.10076986768101713,0.9933774834437086,0.782608695652174,0.8754863813229572,0.006622516556291391,0.4770992366412214,137,125,3,450
99,3.0,vision,inline,xgboost,0.055,0.12027972027972028,0.8852097130242825,0.8702290076335878,0.915668233827073,0.9498130498887165,0.1141608803319946,1.0,0.6527377521613833,0.7898866608544028,0.0,0.9198473282442748,21,241,0,453
99,3.0,process,inline,xgboost,0.030000000000000002,0.11748251748251748,0.4988962472406181,0.9541984732824428,0.798118564952901,0.8705204628501206,0.2400818177930684,0.9911699779249448,0.6632200886262924,0.7946902654867256,0.008830022075055188,0.8702290076335878,34,228,4,449
99,3.0,fusion,inline,xgboost,0.005,0.055944055944055944,0.5739514348785872,0.9541984732824428,0.9066149335220666,0.9454885237603352,0.16907824366532645,0.9867549668874173,0.7095238095238096,0.8254847645429363,0.013245033112582781,0.6984732824427481,79,183,6,447
123,0.5,vision,inline,xgboost,0.015,0.08251748251748252,0.9249448123620309,0.9007633587786259,0.9994439108235174,0.9996913508517286,0.007657451298758369,1.0,0.884765625,0.938860103626943,0.0,0.22519083969465647,203,59,0,453
123,0.5,process,inline,xgboost,0.005,0.15524475524475526,0.5849889624724062,0.9580152671755725,0.8471133916384409,0.8997872900916912,0.21448360205744058,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
123,0.5,fusion,inline,xgboost,0.034999999999999996,0.0993006993006993,0.8763796909492274,0.9351145038167938,0.9992543349678985,0.9995855153288881,0.008908160229453871,0.9977924944812362,0.9515789473684211,0.9741379310344828,0.002207505518763797,0.08778625954198473,239,23,1,452
123,1.0,vision,inline,xgboost,0.01,0.0937062937062937,0.9094922737306843,0.8854961832061069,0.9965539322245252,0.998252450059684,0.015715056670048064,0.9977924944812362,0.7985865724381626,0.887144259077527,0.002207505518763797,0.4351145038167939,148,114,1,452
123,1.0,process,inline,xgboost,0.005,0.15524475524475526,0.5849889624724062,0.9580152671755725,0.8471133916384409,0.8997872900916912,0.21448360205744058,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
123,1.0,fusion,inline,xgboost,0.04,0.12167832167832168,0.847682119205298,0.916030534351145,0.9957787776148829,0.997834335621822,0.01881183946169041,0.9933774834437086,0.9316770186335404,0.9615384615384616,0.006622516556291391,0.12595419847328243,229,33,3,450
123,1.5,vision,inline,xgboost,0.04,0.07692307692307693,0.9205298013245033,0.9045801526717557,0.9943969802672598,0.9969946462092695,0.026303300487100858,0.9977924944812362,0.8293577981651377,0.905811623246493,0.002207505518763797,0.3549618320610687,169,93,1,452
123,1.5,process,inline,xgboost,0.005,0.15524475524475526,0.5849889624724062,0.9580152671755725,0.8471133916384409,0.8997872900916912,0.21448360205744058,1.0,0.6335664335664336,0.7756849315068494,0.0,1.0,0,262,0,453
123,1.5,fusion,inline,xgboost,0.02,0.17202797202797201,0.7571743929359823,0.9198473282442748,0.9941105100854356,0.9967499224538253,0.041514359716157946,0.9955849889624724,0.902,0.9464847848898216,0.004415011037527594,0.18702290076335878,213,49,2,451
